国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
-0.3942964408,-0.8635524857,0.2997842766,0.05226356245,-0.1937468199,1.762086009,-0.4588402415,-0.8896653116,-0.1630933058,-0.939310051,-0.1492997928,-2.28690004
-1.06218831,-0.06127326154,-0.5726194047,-0.5442829916,-0.3051081637,1.988985263,-0.1663631494,0.6109659061,-0.951713809,1.39085356,-0.2260027341,-0.03109849654
-0.6694695909,-0.7514368037,0.574792556,-0.3797706972,-0.5392593344,-0.6234994386,-1.034320041,0.3934361279,1.439273908,2.218160319,0.7162893373,-0.4627017655
0.7760256651,1.166163575,-0.9864130076,-0.7238567147,-0.09195969037,-0.1508695825,-0.04728572316,-2.427920634,0.4339937833,-1.270778557,0.3239813616,1.406393283
-2.212172749,-0.5717620996,-0.8425556264,-0.8496379518,-0.2803618987,-1.089733034,-0.836957186,-0.8128820245,-1.702263739,-0.3656753007,-0.1130763062,-2.497811834
-1.153972912,0.001373874868,-1.519756218,-0.563703862,-0.8752712145,-0.371314716,-0.2842538276,-2.267103624,-0.9132183629,-1.334303197,-2.675984688,-0.8114077871
1.295809266,0.1188728341,0.4828188443,1.657988972,0.9371964843,-0.08536181078,-0.2386727823,-0.03439364922,0.7455213726,-0.1861193319,0.6671634413,-0.434893141
-0.06703992376,-0.07428203487,-1.393857952,-1.840955227,-2.421124756,-0.655369839,1.342158781,0.001872645459,-0.3786554198,2.829730145,-1.422829545,-0.7781366702
-0.04342259498,0.01458748689,-1.371304188,-1.383732174,0.1554958801,0.4322731561,-1.786041408,-0.01375635484,-2.03078625,-0.7774834987,0.5413905678,0.001443994951
-0.3711492825,0.2799482483,-0.09425231005,0.1842387028,0.1553108141,1.145035128,0.4898729527,0.7107583761,0.4756760678,0.6432411293,-0.03488554616,-0.8545493782
-1.718835641,-1.146913892,-0.05425970947,-0.2450233565,-1.397837553,0.1880530694,-0.7556257391,-1.268240504,-0.8373993346,-1.369776175,-0.2071478934,-1.596373754
2.180876674,-0.1705902949,1.610916617,-0.4695819083,1.102657493,0.2268855447,1.543744113,1.38578724,0.1472659001,1.935687753,-0.8000689815,0.1241721681
-1.939596073,0.9053857978,-0.2262240568,0.07594745179,-0.8642224173,0.03646740132,0.103202823,-0.1983798397,-0.003883465489,0.5818324839,0.3038719577,1.22643845
-0.1526380879,0.1580078041,0.2928778929,0.3328658496,0.2064948112,-0.3735457888,-1.214279607,-0.5158541041,0.2117124879,-0.01653336447,1.682905917,1.061258132
-1.277710052,0.7634485028,0.2787206853,-0.4682385796,0.5098832754,0.283937628,-0.6416263478,-1.507400928,-0.2520107267,-2.281436948,-0.1256961775,-1.012540259
2.273187613,2.054108849,0.7143283819,1.072780891,0.2267845158,0.2983197765,0.5541552271,-0.004428166427,-0.03179854851,0.9939943666,-0.176753534,1.926821544
-0.809229164,1.44687228,0.4152174513,0.1927953014,-0.921299848,-1.43592148,-1.078203516,0.4665990116,0.6014469913,2.413363091,-0.435752559,0.4584101359
-0.6143874096,-0.454956721,-0.2002743619,-0.03882082299,1.557964332,0.6229453084,1.278186215,0.1094462572,-1.238092213,-0.2391259284,-2.199284187,-0.06410058514
-0.4704880456,0.3470879468,0.9052369631,1.400238725,0.6856641911,-0.4651809004,-0.3370821553,-1.088459207,-0.8523903637,-0.583574443,-0.4108024555,-1.555513023
